00:NOP:1:4:machine
01:LXI B,D16:3:10:transfer
02:STAX B:1:7:transfer
03:INX B:1:5:arithmetic
04:INR B:1:5:arithmetic
05:DCR B:1:5:arithmetic
06:MVI B, D8:2:7:transfer
07:RLC:1:4:logical
08:-::4:machine
09:DAD B:1:10:arithmetic
0a:LDAX B:1:7:transfer
0b:DCX B:1:5:arithmetic
0c:INR C:1:5:arithmetic
0d:DCR C:1:5:arithmetic
0e:MVI C,D8:2:7:transfer
0f:RRC:1:4:logical
10:-:1:4:machine
11:LXI D,D16:3:10:transfer
12:STAX D:1:7:transfer
13:INX D:1:5:arithmetic
14:INR D:1:5:arithmetic
15:DCR D:1:5:arithmetic
16:MVI D, D8:2:7:transfer
17:RAL:1:4:logical
18:-:1:4:machine
19:DAD D:1:10:arithmetic
1a:LDAX D:1:7:transfer
1b:DCX D:1:5:arithmetic
1c:INR E:1:5:arithmetic
1d:DCR E:1:5:arithmetic
1e:MVI E,D8:2:7:transfer
1f:RAR:1:4:logical
20:-:1:4:machine
21:LXI H,D16:3:10:transfer
22:SHLD adr:3:16:transfer
23:INX H:1:5:arithmetic
24:INR H:1:5:arithmetic
25:DCR H:1:5:arithmetic
26:MVI H,D8:2:7:transfer
27:DAA:1:4:arithmetic
28:-:1:4:machine
29:DAD H:1:10:arithmetic
2a:LHLD adr:3:16:transfer
2b:DCX H:1:5:arithmetic
2c:INR L:1:5:arithmetic
2d:DCR L:1:5:arithmetic
2e:MVI L, D8:2:7:transfer
2f:CMA:1:4:logical
30:-:1:4:machine
31:LXI SP, D16:3:10:transfer
32:STA adr:3:13:transfer
33:INX SP:1:5:arithmetic
34:INR M:1:10:arithmetic
35:DCR M:1:10:arithmetic
36:MVI M,D8:2:10:transfer
37:STC:1:4:logical
38:-:1:4:machine
39:DAD SP:1:10:arithmetic
3a:LDA adr:3:13:transfer
3b:DCX SP:1:5:arithmetic
3c:INR A:1:5:arithmetic
3d:DCR A:1:5:arithmetic
3e:MVI A,D8:2:7:transfer
3f:CMC:1:4:logical
40:MOV B,B:1:5:transfer
41:MOV B,C:1:5:transfer
42:MOV B,D:1:5:transfer
43:MOV B,E:1:5:transfer
44:MOV B,H:1:5:transfer
45:MOV B,L:1:5:transfer
46:MOV B,M:1:7:transfer
47:MOV B,A:1:5:transfer
48:MOV C,B:1:5:transfer
49:MOV C,C:1:5:transfer
4a:MOV C,D:1:5:transfer
4b:MOV C,E:1:5:transfer
4c:MOV C,H:1:5:transfer
4d:MOV C,L:1:5:transfer
